Test Case ID,Module,Test Scenario,HTTP,Status Code,Actual Result
AUTO3-LOGIN,Authentication,Login with valid credentials,POST /auth/login,200,"POST /auth/login returned 200. Response: {""access_token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmNTg5MGRkYy1jNGZiLTQwZjMtODZmMC1hNGJhNzM5OTJiYjEiLCJleHAiOjE3ODkyMDA1MTh9.7hlUum7w4-3N0yD-TroOlJV7zz0i75SPoglSm5bKst8"", ""token_type"": ""bearer""}"
AUTO3-SEC-NOAUTH,Security,Access API without authentication (no header at all),GET /content,200,"GET /content returned 200. Response: [{""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Auto Test Video"", ""views"": 1000, ""likes"": 100, ""comments"": 10, ""shares"": 5, ""saves"": 2, ""watch_time"": 120.5, ""reach"": 800, ""published_date"": ""2026-09-11"", ""id"": 1127}, {""creator_id"": 1, ""platform"": ""YouTube"", ""e"
AUTO3-SEC-BADJWT,Security,Use a syntactically invalid JWT,GET /content,200,"GET /content returned 200. Response: [{""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Auto Test Video"", ""views"": 1000, ""likes"": 100, ""comments"": 10, ""shares"": 5, ""saves"": 2, ""watch_time"": 120.5, ""reach"": 800, ""published_date"": ""2026-09-11"", ""id"": 1127}, {""creator_id"": 1, ""platform"": ""YouTube"", ""e"
AUTO3-SEC-SENSITIVE,Security,Verify sensitive data is not exposed in API response,GET /users/me,200,"GET /users/me returned 200. Response: {""id"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1"", ""creator_id"": 1, ""full_name"": ""sakshi"", ""role"": ""creator"", ""is_active"": true}"
AUTO3-DB-CREATE,Database,Create record,POST /content,201,"POST /content returned 201. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""DB Lifecycle Test"", ""views"": 100, ""likes"": 10, ""comments"": 1, ""shares"": 1, ""saves"": 0, ""watch_time"": 30.0, ""reach"": 90, ""published_date"": ""2026-09-12"", ""id"": 1130}"
AUTO3-DB-UPDATE,Database,Update record,PUT /content/1130,200,"PUT /content/1130 returned 200. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""DB Lifecycle Test (Updated)"", ""views"": 500, ""likes"": 10, ""comments"": 1, ""shares"": 1, ""saves"": 0, ""watch_time"": 30.0, ""reach"": 90, ""published_date"": ""2026-09-12"", ""id"": 1130}"
AUTO3-DB-VERIFY,Database,Verify update persisted,GET /content/1130,200,"GET /content/1130 returned 200. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""DB Lifecycle Test (Updated)"", ""views"": 500, ""likes"": 10, ""comments"": 1, ""shares"": 1, ""saves"": 0, ""watch_time"": 30.0, ""reach"": 90, ""published_date"": ""2026-09-12"", ""id"": 1130}"
AUTO3-DB-DELETE,Database,"Delete record, if supported",DELETE /content/1130,200,"DELETE /content/1130 returned 200. Response: {""detail"": ""Content with id 1130 deleted successfully""}"
AUTO3-DB-VERIFY-DELETE,Database,Verify record no longer exists after delete,GET /content/1130,404,"GET /content/1130 returned 404. Response: {""detail"": ""Content with id 1130 not found""}"
AUTO3-DB-DUP1,Database,Create first record for duplicate check,POST /content,201,"POST /content returned 201. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Duplicate Check Video"", ""views"": 50, ""likes"": 5, ""comments"": 0, ""shares"": 0, ""saves"": 0, ""watch_time"": 10.0, ""reach"": 40, ""published_date"": ""2026-09-12"", ""id"": 1131}"
AUTO3-DB-DUP2,Database,Create identical second record to see if duplicates are prevented/handled,POST /content,201,"POST /content returned 201. Response: {""creator_id"": 1, ""platform"": ""YouTube"", ""external_content_id"": null, ""content_title"": ""Duplicate Check Video"", ""views"": 50, ""likes"": 5, ""comments"": 0, ""shares"": 0, ""saves"": 0, ""watch_time"": 10.0, ""reach"": 40, ""published_date"": ""2026-09-12"", ""id"": 1132}"
AUTO3-PROFILE-GETME,Profile,Get own user id before updating,GET /users/me,200,"GET /users/me returned 200. Response: {""id"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1"", ""creator_id"": 1, ""full_name"": ""sakshi"", ""role"": ""creator"", ""is_active"": true}"
AUTO3-PROFILE-UPDATE,Profile,Update profile with valid data,PUT /users/f5890ddc-c4fb-40f3-86f0-a4ba73992bb1,422,"PUT /users/f5890ddc-c4fb-40f3-86f0-a4ba73992bb1 returned 422. Response: {""detail"": [{""type"": ""int_parsing"", ""loc"": [""path"", ""user_id""], ""msg"": ""Input should be a valid integer, unable to parse string as an integer"", ""input"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1""}]}"
AUTO3-PROFILE-INVALID,Profile,Update profile with invalid data (empty name),PUT /users/f5890ddc-c4fb-40f3-86f0-a4ba73992bb1,422,"PUT /users/f5890ddc-c4fb-40f3-86f0-a4ba73992bb1 returned 422. Response: {""detail"": [{""type"": ""int_parsing"", ""loc"": [""path"", ""user_id""], ""msg"": ""Input should be a valid integer, unable to parse string as an integer"", ""input"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1""}]}"
AUTO3-PROFILE-VERIFY,Profile,Verify profile persistence after update,GET /users/me,200,"GET /users/me returned 200. Response: {""id"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1"", ""creator_id"": 1, ""full_name"": ""sakshi"", ""role"": ""creator"", ""is_active"": true}"
