Test Case ID,Module,Test Scenario,HTTP,Status Code,Actual Result
AUTO-AUTH-REG,Authentication,Register with test account (may already exist),POST /auth/register,400,"POST /auth/register returned 400. Response: {""detail"": ""Email already registered""}"
AUTO-AUTH-LOGIN,Authentication,Login with valid credentials,POST /auth/login,200,"POST /auth/login returned 200. Response: {""access_token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmNTg5MGRkYy1jNGZiLTQwZjMtODZmMC1hNGJhNzM5OTJiYjEiLCJleHAiOjE3ODkxMjQxMDV9.HE3Ny7TBxbA2SHsNZN7xNbITXifDYWfs3XndNEpAc9I"", ""token_type"": ""bearer""}"
AUTO-AUTH-BADPW,Authentication,Login with incorrect password,POST /auth/login,401,"POST /auth/login returned 401. Response: {""detail"": ""Invalid email or password""}"
AUTO-AUTH-NOEMAIL,Authentication,Login with non-existing email,POST /auth/login,401,"POST /auth/login returned 401. Response: {""detail"": ""Invalid email or password""}"
AUTO-AUTH-SWAGGERTOKEN,Authentication,Login via OAuth2 form (auth/token),POST /auth/token,200,"POST /auth/token returned 200. Response: {""access_token"": ""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJmNTg5MGRkYy1jNGZiLTQwZjMtODZmMC1hNGJhNzM5OTJiYjEiLCJleHAiOjE3ODkxMjQxMDZ9.ooLiVCtjXV70tuMcYRfjI1DSGvEhTGUA19lVyzxhwTk"", ""token_type"": ""bearer""}"
AUTO-AUTH-NOTOKEN,Authentication,Access protected API without token,GET /users/me,401,"GET /users/me returned 401. Response: {""detail"": ""Not authenticated""}"
AUTO-AUTH-BADTOKEN,Authentication,Access protected API with invalid token,GET /users/me,401,"GET /users/me returned 401. Response: {""detail"": ""Could not validate credentials""}"
AUTO-AUTH-VALIDTOKEN,Authentication,Access protected API with valid token,GET /users/me,200,"GET /users/me returned 200. Response: {""id"": ""f5890ddc-c4fb-40f3-86f0-a4ba73992bb1"", ""creator_id"": 1, ""full_name"": ""sakshi"", ""role"": ""creator"", ""is_active"": true}"
AUTO-ROLES-LIST,Roles,List available roles,GET /roles/,200,"GET /roles/ returned 200. Response: [""creator"", ""agency"", ""marketing_team"", ""admin""]"
AUTO-DASH-OVERVIEW,Dashboard,Dashboard overview,GET /dashboard/overview,400,"GET /dashboard/overview returned 400. Response: {""detail"": ""Missing or invalid X-Role header""}"
